"Step","2of3-test_accuracy","2of3-test_accuracy__MIN","2of3-test_accuracy__MAX","2of3-accuracy","2of3-accuracy__MIN","2of3-accuracy__MAX","2of3-test_err1","2of3-test_err1__MIN","2of3-test_err1__MAX","2of3-test_err2","2of3-test_err2__MIN","2of3-test_err2__MAX","2of3-err1","2of3-err1__MIN","2of3-err1__MAX","2of3-err2","2of3-err2__MIN","2of3-err2__MAX","2of3-loss","2of3-loss__MIN","2of3-loss__MAX","1of3-test_accuracy","1of3-test_accuracy__MIN","1of3-test_accuracy__MAX","1of3-accuracy","1of3-accuracy__MIN","1of3-accuracy__MAX","1of3-test_err1","1of3-test_err1__MIN","1of3-test_err1__MAX","1of3-test_err2","1of3-test_err2__MIN","1of3-test_err2__MAX","1of3-err1","1of3-err1__MIN","1of3-err1__MAX","1of3-err2","1of3-err2__MIN","1of3-err2__MAX","1of3-loss","1of3-loss__MIN","1of3-loss__MAX","0of3-test_accuracy","0of3-test_accuracy__MIN","0of3-test_accuracy__MAX","0of3-accuracy","0of3-accuracy__MIN","0of3-accuracy__MAX","0of3-test_err1","0of3-test_err1__MIN","0of3-test_err1__MAX","0of3-test_err2","0of3-test_err2__MIN","0of3-test_err2__MAX","0of3-err1","0of3-err1__MIN","0of3-err1__MAX","0of3-err2","0of3-err2__MIN","0of3-err2__MAX","0of3-loss","0of3-loss__MIN","0of3-loss__MAX"
"0","0.5341796875","0.5341796875","0.5341796875","0.5244140625","0.5244140625","0.5244140625","0.4619140625","0.4619140625","0.4619140625","0.00390625","0.00390625","0.00390625","0.2626953125","0.2626953125","0.2626953125","0.212890625","0.212890625","0.212890625","1.5929146704729646","1.5929146704729646","1.5929146704729646","0.53125","0.53125","0.53125","0.5205078125","0.5205078125","0.5205078125","0.466796875","0.466796875","0.466796875","0.001953125","0.001953125","0.001953125","0.3203125","0.3203125","0.3203125","0.1591796875","0.1591796875","0.1591796875","1.16263108397834","1.16263108397834","1.16263108397834","0.5048828125","0.5048828125","0.5048828125","0.533203125","0.533203125","0.533203125","0.4814453125","0.4814453125","0.4814453125","0.013671875","0.013671875","0.013671875","0.236328125","0.236328125","0.236328125","0.23046875","0.23046875","0.23046875","1.5039232966955751","1.5039232966955751","1.5039232966955751"
"1","0.52734375","0.52734375","0.52734375","0.5087890625","0.5087890625","0.5087890625","0.4697265625","0.4697265625","0.4697265625","0.0029296875","0.0029296875","0.0029296875","0.48046875","0.48046875","0.48046875","0.0107421875","0.0107421875","0.0107421875","0.3234634534455836","0.3234634534455836","0.3234634534455836","0.5458984375","0.5458984375","0.5458984375","0.5478515625","0.5478515625","0.5478515625","0.451171875","0.451171875","0.451171875","0.0029296875","0.0029296875","0.0029296875","0.4462890625","0.4462890625","0.4462890625","0.005859375","0.005859375","0.005859375","0.28086954256286845","0.28086954256286845","0.28086954256286845","0.56640625","0.56640625","0.56640625","0.5322265625","0.5322265625","0.5322265625","0.4326171875","0.4326171875","0.4326171875","0.0009765625","0.0009765625","0.0009765625","0.462890625","0.462890625","0.462890625","0.0048828125","0.0048828125","0.0048828125","0.3149962274474092","0.3149962274474092","0.3149962274474092"
"2","0.55078125","0.55078125","0.55078125","0.5224609375","0.5224609375","0.5224609375","0.4384765625","0.4384765625","0.4384765625","0.0107421875","0.0107421875","0.0107421875","0.4697265625","0.4697265625","0.4697265625","0.0078125","0.0078125","0.0078125","0.2837160764611326","0.2837160764611326","0.2837160764611326","0.5439453125","0.5439453125","0.5439453125","0.5361328125","0.5361328125","0.5361328125","0.4521484375","0.4521484375","0.4521484375","0.00390625","0.00390625","0.00390625","0.45703125","0.45703125","0.45703125","0.0068359375","0.0068359375","0.0068359375","0.2572071508038789","0.2572071508038789","0.2572071508038789","0.5810546875","0.5810546875","0.5810546875","0.529296875","0.529296875","0.529296875","0.4091796875","0.4091796875","0.4091796875","0.009765625","0.009765625","0.009765625","0.4658203125","0.4658203125","0.4658203125","0.0048828125","0.0048828125","0.0048828125","0.2594550663488917","0.2594550663488917","0.2594550663488917"
"3","0.5966796875","0.5966796875","0.5966796875","0.552734375","0.552734375","0.552734375","0.39453125","0.39453125","0.39453125","0.0087890625","0.0087890625","0.0087890625","0.4453125","0.4453125","0.4453125","0.001953125","0.001953125","0.001953125","0.2573741630767472","0.2573741630767472","0.2573741630767472","0.5478515625","0.5478515625","0.5478515625","0.56640625","0.56640625","0.56640625","0.451171875","0.451171875","0.451171875","0.0009765625","0.0009765625","0.0009765625","0.431640625","0.431640625","0.431640625","0.001953125","0.001953125","0.001953125","0.25106524844886735","0.25106524844886735","0.25106524844886735","0.5986328125","0.5986328125","0.5986328125","0.576171875","0.576171875","0.576171875","0.3935546875","0.3935546875","0.3935546875","0.0078125","0.0078125","0.0078125","0.4189453125","0.4189453125","0.4189453125","0.0048828125","0.0048828125","0.0048828125","0.2449517723871395","0.2449517723871395","0.2449517723871395"
"4","0.5927734375","0.5927734375","0.5927734375","0.5537109375","0.5537109375","0.5537109375","0.40625","0.40625","0.40625","0.0009765625","0.0009765625","0.0009765625","0.4453125","0.4453125","0.4453125","0.0009765625","0.0009765625","0.0009765625","0.23218104027910158","0.23218104027910158","0.23218104027910158","0.5703125","0.5703125","0.5703125","0.55078125","0.55078125","0.55078125","0.4248046875","0.4248046875","0.4248046875","0.0048828125","0.0048828125","0.0048828125","0.4453125","0.4453125","0.4453125","0.00390625","0.00390625","0.00390625","0.255499052349478","0.255499052349478","0.255499052349478","0.5517578125","0.5517578125","0.5517578125","0.576171875","0.576171875","0.576171875","0.4462890625","0.4462890625","0.4462890625","0.001953125","0.001953125","0.001953125","0.4228515625","0.4228515625","0.4228515625","0.0009765625","0.0009765625","0.0009765625","0.23472782655153424","0.23472782655153424","0.23472782655153424"
"5","0.59375","0.59375","0.59375","0.5703125","0.5703125","0.5703125","0.40625","0.40625","0.40625","0","0","0","0.42578125","0.42578125","0.42578125","0.00390625","0.00390625","0.00390625","0.2218032336095348","0.2218032336095348","0.2218032336095348","0.6025390625","0.6025390625","0.6025390625","0.5615234375","0.5615234375","0.5615234375","0.3955078125","0.3955078125","0.3955078125","0.001953125","0.001953125","0.001953125","0.4345703125","0.4345703125","0.4345703125","0.00390625","0.00390625","0.00390625","0.2312478573876433","0.2312478573876433","0.2312478573876433","0.6181640625","0.6181640625","0.6181640625","0.578125","0.578125","0.578125","0.3759765625","0.3759765625","0.3759765625","0.005859375","0.005859375","0.005859375","0.421875","0.421875","0.421875","0","0","0","0.23010352824348956","0.23010352824348956","0.23010352824348956"
"6","0.552734375","0.552734375","0.552734375","0.5751953125","0.5751953125","0.5751953125","0.4443359375","0.4443359375","0.4443359375","0.0029296875","0.0029296875","0.0029296875","0.4208984375","0.4208984375","0.4208984375","0.00390625","0.00390625","0.00390625","0.20866710250265896","0.20866710250265896","0.20866710250265896","0.6201171875","0.6201171875","0.6201171875","0.578125","0.578125","0.578125","0.3759765625","0.3759765625","0.3759765625","0.00390625","0.00390625","0.00390625","0.419921875","0.419921875","0.419921875","0.001953125","0.001953125","0.001953125","0.21816971310181543","0.21816971310181543","0.21816971310181543","0.576171875","0.576171875","0.576171875","0.578125","0.578125","0.578125","0.421875","0.421875","0.421875","0.001953125","0.001953125","0.001953125","0.4189453125","0.4189453125","0.4189453125","0.0029296875","0.0029296875","0.0029296875","0.20741603284841403","0.20741603284841403","0.20741603284841403"
"7","0.5869140625","0.5869140625","0.5869140625","0.5849609375","0.5849609375","0.5849609375","0.4091796875","0.4091796875","0.4091796875","0.00390625","0.00390625","0.00390625","0.4111328125","0.4111328125","0.4111328125","0.00390625","0.00390625","0.00390625","0.20144484340562485","0.20144484340562485","0.20144484340562485","0.62890625","0.62890625","0.62890625","0.5615234375","0.5615234375","0.5615234375","0.369140625","0.369140625","0.369140625","0.001953125","0.001953125","0.001953125","0.435546875","0.435546875","0.435546875","0.0029296875","0.0029296875","0.0029296875","0.23246616526739672","0.23246616526739672","0.23246616526739672","0.64453125","0.64453125","0.64453125","0.5771484375","0.5771484375","0.5771484375","0.3466796875","0.3466796875","0.3466796875","0.0087890625","0.0087890625","0.0087890625","0.4169921875","0.4169921875","0.4169921875","0.005859375","0.005859375","0.005859375","0.1950674444960896","0.1950674444960896","0.1950674444960896"
"8","0.599609375","0.599609375","0.599609375","0.599609375","0.599609375","0.599609375","0.3984375","0.3984375","0.3984375","0.001953125","0.001953125","0.001953125","0.3994140625","0.3994140625","0.3994140625","0.0009765625","0.0009765625","0.0009765625","0.1854182024835609","0.1854182024835609","0.1854182024835609","0.55859375","0.55859375","0.55859375","0.5986328125","0.5986328125","0.5986328125","0.439453125","0.439453125","0.439453125","0.001953125","0.001953125","0.001953125","0.3994140625","0.3994140625","0.3994140625","0.001953125","0.001953125","0.001953125","0.20388405965059064","0.20388405965059064","0.20388405965059064","0.59375","0.59375","0.59375","0.60546875","0.60546875","0.60546875","0.4052734375","0.4052734375","0.4052734375","0.0009765625","0.0009765625","0.0009765625","0.3916015625","0.3916015625","0.3916015625","0.0029296875","0.0029296875","0.0029296875","0.18586928927106783","0.18586928927106783","0.18586928927106783"
"9","0.5869140625","0.5869140625","0.5869140625","0.6181640625","0.6181640625","0.6181640625","0.412109375","0.412109375","0.412109375","0.0009765625","0.0009765625","0.0009765625","0.380859375","0.380859375","0.380859375","0.0009765625","0.0009765625","0.0009765625","0.1736202709726058","0.1736202709726058","0.1736202709726058","0.59375","0.59375","0.59375","0.6044921875","0.6044921875","0.6044921875","0.4033203125","0.4033203125","0.4033203125","0.0029296875","0.0029296875","0.0029296875","0.3935546875","0.3935546875","0.3935546875","0.001953125","0.001953125","0.001953125","0.1880368964630179","0.1880368964630179","0.1880368964630179","0.5107421875","0.5107421875","0.5107421875","0.6044921875","0.6044921875","0.6044921875","0.48828125","0.48828125","0.48828125","0.0009765625","0.0009765625","0.0009765625","0.3935546875","0.3935546875","0.3935546875","0.001953125","0.001953125","0.001953125","0.18369193075341173","0.18369193075341173","0.18369193075341173"
