"Step","2of3 - accuracy","2of3 - accuracy__MIN","2of3 - accuracy__MAX","2of3 - test_accuracy","2of3 - test_accuracy__MIN","2of3 - test_accuracy__MAX","2of3 - err1","2of3 - err1__MIN","2of3 - err1__MAX","2of3 - err2","2of3 - err2__MIN","2of3 - err2__MAX","2of3 - test_err1","2of3 - test_err1__MIN","2of3 - test_err1__MAX","2of3 - test_err2","2of3 - test_err2__MIN","2of3 - test_err2__MAX","2of3 - loss","2of3 - loss__MIN","2of3 - loss__MAX","1of3 - accuracy","1of3 - accuracy__MIN","1of3 - accuracy__MAX","1of3 - test_accuracy","1of3 - test_accuracy__MIN","1of3 - test_accuracy__MAX","1of3 - err1","1of3 - err1__MIN","1of3 - err1__MAX","1of3 - err2","1of3 - err2__MIN","1of3 - err2__MAX","1of3 - test_err1","1of3 - test_err1__MIN","1of3 - test_err1__MAX","1of3 - test_err2","1of3 - test_err2__MIN","1of3 - test_err2__MAX","1of3 - loss","1of3 - loss__MIN","1of3 - loss__MAX","0of3 - accuracy","0of3 - accuracy__MIN","0of3 - accuracy__MAX","0of3 - test_accuracy","0of3 - test_accuracy__MIN","0of3 - test_accuracy__MAX","0of3 - err1","0of3 - err1__MIN","0of3 - err1__MAX","0of3 - err2","0of3 - err2__MIN","0of3 - err2__MAX","0of3 - test_err1","0of3 - test_err1__MIN","0of3 - test_err1__MAX","0of3 - test_err2","0of3 - test_err2__MIN","0of3 - test_err2__MAX","0of3 - loss","0of3 - loss__MIN","0of3 - loss__MAX"
"0","0.4853515625","0.4853515625","0.4853515625","0.5126953125","0.5126953125","0.5126953125","0.3486328125","0.3486328125","0.3486328125","0.166015625","0.166015625","0.166015625","0.48046875","0.48046875","0.48046875","0.0068359375","0.0068359375","0.0068359375","1.1600827839574777","1.1600827839574777","1.1600827839574777","0.5380859375","0.5380859375","0.5380859375","0.5439453125","0.5439453125","0.5439453125","0.302734375","0.302734375","0.302734375","0.1591796875","0.1591796875","0.1591796875","0.4404296875","0.4404296875","0.4404296875","0.015625","0.015625","0.015625","1.213561967597343","1.213561967597343","1.213561967597343","0.5048828125","0.5048828125","0.5048828125","0.52734375","0.52734375","0.52734375","0.3056640625","0.3056640625","0.3056640625","0.189453125","0.189453125","0.189453125","0.451171875","0.451171875","0.451171875","0.021484375","0.021484375","0.021484375","1.2303434003842995","1.2303434003842995","1.2303434003842995"
"1","0.5478515625","0.5478515625","0.5478515625","0.552734375","0.552734375","0.552734375","0.447265625","0.447265625","0.447265625","0.0048828125","0.0048828125","0.0048828125","0.4423828125","0.4423828125","0.4423828125","0.0048828125","0.0048828125","0.0048828125","0.306269146502018","0.306269146502018","0.306269146502018","0.5498046875","0.5498046875","0.5498046875","0.5224609375","0.5224609375","0.5224609375","0.443359375","0.443359375","0.443359375","0.0068359375","0.0068359375","0.0068359375","0.4697265625","0.4697265625","0.4697265625","0.0078125","0.0078125","0.0078125","0.3094444752205163","0.3094444752205163","0.3094444752205163","0.5263671875","0.5263671875","0.5263671875","0.517578125","0.517578125","0.517578125","0.46875","0.46875","0.46875","0.0048828125","0.0048828125","0.0048828125","0.48046875","0.48046875","0.48046875","0.001953125","0.001953125","0.001953125","0.3569996355799958","0.3569996355799958","0.3569996355799958"
"2","0.552734375","0.552734375","0.552734375","0.6083984375","0.6083984375","0.6083984375","0.44140625","0.44140625","0.44140625","0.005859375","0.005859375","0.005859375","0.3779296875","0.3779296875","0.3779296875","0.013671875","0.013671875","0.013671875","0.2559707157779485","0.2559707157779485","0.2559707157779485","0.5361328125","0.5361328125","0.5361328125","0.533203125","0.533203125","0.533203125","0.458984375","0.458984375","0.458984375","0.0048828125","0.0048828125","0.0048828125","0.4609375","0.4609375","0.4609375","0.005859375","0.005859375","0.005859375","0.29338526469655335","0.29338526469655335","0.29338526469655335","0.51953125","0.51953125","0.51953125","0.5546875","0.5546875","0.5546875","0.4775390625","0.4775390625","0.4775390625","0.0029296875","0.0029296875","0.0029296875","0.4443359375","0.4443359375","0.4443359375","0.0009765625","0.0009765625","0.0009765625","0.30064107524231076","0.30064107524231076","0.30064107524231076"
"3","0.576171875","0.576171875","0.576171875","0.5830078125","0.5830078125","0.5830078125","0.419921875","0.419921875","0.419921875","0.00390625","0.00390625","0.00390625","0.4140625","0.4140625","0.4140625","0.0029296875","0.0029296875","0.0029296875","0.235325992340222","0.235325992340222","0.235325992340222","0.5615234375","0.5615234375","0.5615234375","0.60546875","0.60546875","0.60546875","0.4365234375","0.4365234375","0.4365234375","0.001953125","0.001953125","0.001953125","0.392578125","0.392578125","0.392578125","0.001953125","0.001953125","0.001953125","0.2518476563272998","0.2518476563272998","0.2518476563272998","0.56640625","0.56640625","0.56640625","0.525390625","0.525390625","0.525390625","0.4296875","0.4296875","0.4296875","0.00390625","0.00390625","0.00390625","0.4716796875","0.4716796875","0.4716796875","0.0029296875","0.0029296875","0.0029296875","0.26654464029707015","0.26654464029707015","0.26654464029707015"
"4","0.587890625","0.587890625","0.587890625","0.6083984375","0.6083984375","0.6083984375","0.4111328125","0.4111328125","0.4111328125","0.0009765625","0.0009765625","0.0009765625","0.3818359375","0.3818359375","0.3818359375","0.009765625","0.009765625","0.009765625","0.20513312064576894","0.20513312064576894","0.20513312064576894","0.55078125","0.55078125","0.55078125","0.6171875","0.6171875","0.6171875","0.4462890625","0.4462890625","0.4462890625","0.0029296875","0.0029296875","0.0029296875","0.376953125","0.376953125","0.376953125","0.005859375","0.005859375","0.005859375","0.2420196087914519","0.2420196087914519","0.2420196087914519","0.5400390625","0.5400390625","0.5400390625","0.56640625","0.56640625","0.56640625","0.4541015625","0.4541015625","0.4541015625","0.005859375","0.005859375","0.005859375","0.4248046875","0.4248046875","0.4248046875","0.0087890625","0.0087890625","0.0087890625","0.24028136109700426","0.24028136109700426","0.24028136109700426"
"5","0.580078125","0.580078125","0.580078125","0.5986328125","0.5986328125","0.5986328125","0.41796875","0.41796875","0.41796875","0.001953125","0.001953125","0.001953125","0.3974609375","0.3974609375","0.3974609375","0.00390625","0.00390625","0.00390625","0.2084348340285942","0.2084348340285942","0.2084348340285942","0.5888671875","0.5888671875","0.5888671875","0.6015625","0.6015625","0.6015625","0.4091796875","0.4091796875","0.4091796875","0.001953125","0.001953125","0.001953125","0.39453125","0.39453125","0.39453125","0.00390625","0.00390625","0.00390625","0.21634851512499154","0.21634851512499154","0.21634851512499154","0.5703125","0.5703125","0.5703125","0.580078125","0.580078125","0.580078125","0.427734375","0.427734375","0.427734375","0.001953125","0.001953125","0.001953125","0.4189453125","0.4189453125","0.4189453125","0.0009765625","0.0009765625","0.0009765625","0.22744739224435762","0.22744739224435762","0.22744739224435762"
"6","0.6171875","0.6171875","0.6171875","0.6298828125","0.6298828125","0.6298828125","0.3818359375","0.3818359375","0.3818359375","0.0009765625","0.0009765625","0.0009765625","0.3681640625","0.3681640625","0.3681640625","0.001953125","0.001953125","0.001953125","0.180759697483154","0.180759697483154","0.180759697483154","0.6025390625","0.6025390625","0.6025390625","0.587890625","0.587890625","0.587890625","0.3955078125","0.3955078125","0.3955078125","0.001953125","0.001953125","0.001953125","0.4091796875","0.4091796875","0.4091796875","0.0029296875","0.0029296875","0.0029296875","0.19663242861861363","0.19663242861861363","0.19663242861861363","0.5693359375","0.5693359375","0.5693359375","0.58203125","0.58203125","0.58203125","0.42578125","0.42578125","0.42578125","0.0048828125","0.0048828125","0.0048828125","0.4169921875","0.4169921875","0.4169921875","0.0009765625","0.0009765625","0.0009765625","0.2169077629223466","0.2169077629223466","0.2169077629223466"
"7","0.6279296875","0.6279296875","0.6279296875","0.6064453125","0.6064453125","0.6064453125","0.3701171875","0.3701171875","0.3701171875","0.001953125","0.001953125","0.001953125","0.390625","0.390625","0.390625","0.0029296875","0.0029296875","0.0029296875","0.17192610126221552","0.17192610126221552","0.17192610126221552","0.609375","0.609375","0.609375","0.607421875","0.607421875","0.607421875","0.3876953125","0.3876953125","0.3876953125","0.0029296875","0.0029296875","0.0029296875","0.3916015625","0.3916015625","0.3916015625","0.0009765625","0.0009765625","0.0009765625","0.19804207427660003","0.19804207427660003","0.19804207427660003","0.59375","0.59375","0.59375","0.654296875","0.654296875","0.654296875","0.4052734375","0.4052734375","0.4052734375","0.0009765625","0.0009765625","0.0009765625","0.34375","0.34375","0.34375","0.001953125","0.001953125","0.001953125","0.19199501781258732","0.19199501781258732","0.19199501781258732"
"8","0.6240234375","0.6240234375","0.6240234375","0.609375","0.609375","0.609375","0.375","0.375","0.375","0.0009765625","0.0009765625","0.0009765625","0.390625","0.390625","0.390625","0","0","0","0.1706600802426692","0.1706600802426692","0.1706600802426692","0.59375","0.59375","0.59375","0.5869140625","0.5869140625","0.5869140625","0.40234375","0.40234375","0.40234375","0.00390625","0.00390625","0.00390625","0.412109375","0.412109375","0.412109375","0.0009765625","0.0009765625","0.0009765625","0.19524867087602615","0.19524867087602615","0.19524867087602615","0.611328125","0.611328125","0.611328125","0.6630859375","0.6630859375","0.6630859375","0.3876953125","0.3876953125","0.3876953125","0.0009765625","0.0009765625","0.0009765625","0.33203125","0.33203125","0.33203125","0.0048828125","0.0048828125","0.0048828125","0.18534783885115758","0.18534783885115758","0.18534783885115758"
"9","0.61328125","0.61328125","0.61328125","0.66796875","0.66796875","0.66796875","0.3828125","0.3828125","0.3828125","0.00390625","0.00390625","0.00390625","0.3271484375","0.3271484375","0.3271484375","0.0048828125","0.0048828125","0.0048828125","0.1646874614234548","0.1646874614234548","0.1646874614234548","0.578125","0.578125","0.578125","0.6826171875","0.6826171875","0.6826171875","0.416015625","0.416015625","0.416015625","0.005859375","0.005859375","0.005859375","0.3115234375","0.3115234375","0.3115234375","0.005859375","0.005859375","0.005859375","0.17874652560567483","0.17874652560567483","0.17874652560567483","0.5908203125","0.5908203125","0.5908203125","0.587890625","0.587890625","0.587890625","0.4033203125","0.4033203125","0.4033203125","0.005859375","0.005859375","0.005859375","0.4091796875","0.4091796875","0.4091796875","0.0029296875","0.0029296875","0.0029296875","0.195699348783819","0.195699348783819","0.195699348783819"
